,tractid,state,county,tract,pop10,nhwht10,nhblk10,ntv10,asian10,hisp10,haw10,india10,china10,filip10,japan10,korea10,viet10,mex10,pr10,cuban10,family10,fhh10,hu10,vac10,ohu10,own10,rent10,a18und10,a60up10,a75up10,agewht10,a15wht10,a60wht10,ageblk10,a15blk10,a60blk10,agehsp10,a15hsp10,a60hsp10,ageasn10,a15asn10,a60asn10,agentv10,a15ntv10,a60ntv10,GlobD10,GlobG10,percent_white10,percent_black10,percent_asian10,percent_hispanic10,percent_indian10,percent_chinese10,percent_filip10,percent_japan10,percent_korean10,percent_viet10,percent_mex10,percent_pr10,percent_cuban10,percent_vacant_housing10,percent_occupied_housing10,percent_under18_10,percent_60andup_10,percent_75andup_10,percent_owneroccupied_10,percent_renteroccupied_10,non-white10,incpc12,hinc12,mhmval12,mrent12,pfb12,pnat12,p10imm12,polang12,phs12,pcol12,pmar12,punemp12,percent_employed12,pprof12,pmanuf12,psemp12,ppov12,p30old12,pmulti12,year
109,25025091300,MA,Suffolk County,Census Tract 913,2499,165,1048,8,95,532,0,9,22,0,2,0,58,11,280,8,577,204,868,78,790,216,574,710,279,92,165,19,34,869,265,72,532,135,66,82,18,4,6,3,0,bha,Minority,6.602641056422568,41.93677470988396,3.8015206082432975,21.288515406162464,0.36014405762304924,0.8803521408563425,0.0,0.08003201280512205,0.0,2.32092837134854,0.4401760704281713,11.204481792717084,0.3201280512204882,8.986175115207374,91.01382488479263,28.41136454581833,11.164465786314526,3.6814725890356144,24.88479262672811,66.12903225806451,82.953181272509,15217,31760,321200,1011,39.84999847,15.31000042,17.94000053,68.86000061,66.79000092,12.51000023,41.38999939,18.29000092,82.2110552763819,24.45000076,5.380000114,2.569999933,30.88999939,77.98999786,91.94999695,2010-01-01
110,25025091400,MA,Suffolk County,Census Tract 914,2741,196,1427,11,40,802,0,17,6,6,4,3,1,7,358,12,611,231,939,60,879,301,578,717,321,97,196,10,29,1267,299,145,802,197,94,27,4,3,6,1,2,bh,Minority,7.1506749361546875,52.06129149945275,1.459321415541773,29.259394381612548,0.6202116016052536,0.218898212331266,0.218898212331266,0.1459321415541773,0.10944910616563297,0.036483035388544326,0.2553812477198103,13.060926669098869,0.437796424662532,6.389776357827476,93.61022364217251,26.158336373586287,11.711054359722727,3.5388544326888,32.05537806176784,61.554845580404695,98.28529733673841,17885,26339,277900,757,26.30999947,14.65999985,15.34000015,46.38999939,58.06999969,14.32999992,17.70999908,17.48999977,82.51231527093597,32.63999939,6.369999886,1.6900000569999998,35.49000168,57.59999847,72.18000031,2010-01-01
111,25025091500,MA,Suffolk County,Census Tract 915,4370,407,2032,15,238,917,0,13,13,15,1,3,179,30,373,8,987,363,1653,183,1470,457,1013,1183,532,160,407,26,71,1735,445,230,917,274,57,202,37,28,8,3,0,bha,Minority,9.31350114416476,46.49885583524028,5.446224256292906,20.983981693363845,0.2974828375286041,0.2974828375286041,0.3432494279176201,0.02288329519450801,0.06864988558352403,4.0961098398169336,0.6864988558352403,8.535469107551487,0.18306636155606407,11.070780399274046,88.92921960072596,27.070938215102966,12.173913043478262,3.6613272311212817,27.646702964307323,61.28251663641864,87.80320366132723,18605,43700,339900,1008,46.15000153,25.68000031,13.23999977,60.45000076,65.20999908,15.26000023,30.92000008,13.07999992,87.22126929674101,30.96999931,0.930000007,2.160000086,20.71999931,86.69999695,82.76999664,2010-01-01
112,25025091600,MA,Suffolk County,Census Tract 916,3138,385,1175,14,813,486,0,14,22,2,0,5,790,10,205,8,704,205,1165,122,1043,285,758,855,369,97,385,32,91,1015,270,78,486,146,24,805,177,127,9,1,2,wbha,Global,12.268961121733588,37.44423199490121,25.908221797323137,15.48757170172084,0.4461440407903123,0.7010834926704907,0.06373486297004463,0.0,0.15933715742511154,25.175270873167623,0.3186743148502231,6.532823454429573,0.2549394518801785,10.472103004291846,89.52789699570816,27.246653919694072,11.759082217973232,3.091140854047164,24.46351931330472,65.06437768240343,112.93817718291905,16493,39115,312500,978,36.27999878,21.78000069,13.92000008,51.84999847,64.19000244,13.02999973,30.29000092,25.59000015,74.82352941176471,21.45999908,9.909999847,3.690000057,23.97999954,87.11000061,92.19999695,2010-01-01
113,25025091700,MA,Suffolk County,Census Tract 917,3069,200,1621,17,140,632,0,9,5,5,2,2,116,7,203,7,711,246,1050,133,917,319,598,902,311,64,200,24,33,1440,391,145,632,169,51,127,29,9,10,6,0,bha,Minority,6.516780710329098,52.81850765721733,4.561746497230368,20.593027044639946,0.2932551319648094,0.16291951775822744,0.16291951775822744,0.06516780710329098,0.06516780710329098,3.779732811990877,0.2280873248615184,6.614532420984035,0.2280873248615184,12.666666666666664,87.33333333333331,29.390681003584234,10.133594004561749,2.0853698273053114,30.380952380952376,56.952380952380956,90.12707722385142,19515,48650,300500,1115,34.22999954,13.44999981,20.80999947,52.31000137,56.97000122,15.89999962,25.12999916,23.48999977,77.18802936194241,21.87000084,6.579999924,1.610000014,24.09000015,96.90000153,84.84999847,2010-01-01
114,25025091800,MA,Suffolk County,Census Tract 918,3452,132,1992,17,69,713,0,16,12,2,5,4,33,12,310,7,793,305,1214,172,1042,388,654,1023,465,127,132,21,40,1798,453,249,713,230,63,59,8,11,14,5,0,bh,Minority,3.8238702201622248,57.70567786790266,1.998841251448436,20.65469293163384,0.4634994206257242,0.3476245654692932,0.057937427578215524,0.14484356894553882,0.11587485515643105,0.9559675550405562,0.3476245654692932,8.980301274623407,0.20278099652375434,14.168039538714993,85.83196046128502,29.634994206257247,13.47045191193511,3.679026651216686,31.96046128500824,53.87149917627677,92.46813441483198,17383,47083,240400,1027,31.13999939,14.56000042,13.27999973,43.75,55.29000092,9.109999657000001,27.44000053,19.10000038,80.8982376350199,13.42000008,5.4800000189999984,5.269999981000001,24.98999977,94.34999847,85.83999634,2010-01-01
115,25025091900,MA,Suffolk County,Census Tract 919,3860,94,2812,20,13,824,0,1,9,0,4,3,0,8,274,1,920,369,1380,136,1244,401,843,1167,460,109,94,16,17,2699,674,363,824,271,54,12,0,2,17,4,2,bh,Minority,2.435233160621762,72.84974093264249,0.3367875647668393,21.34715025906736,0.02590673575129533,0.23316062176165805,0.0,0.10362694300518134,0.07772020725388601,0.0,0.20725388601036268,7.098445595854923,0.02590673575129533,9.855072463768117,90.14492753623188,30.23316062176166,11.917098445595856,2.8238341968911915,29.057971014492754,61.08695652173913,102.8238341968912,17841,42067,295200,1045,37.36999893,19.79999924,14.51000023,50.95999908,63.72999954,12.19999981,28.30999947,23.70000076,76.89480937069362,23.05999947,6.690000057000001,2.150000095,23.67000008,78.59999847,83.05000305,2010-01-01
116,25025092000,MA,Suffolk County,Census Tract 920,4945,258,2908,20,487,1051,0,68,13,3,2,0,403,17,330,12,1095,341,1693,161,1532,535,997,1292,650,164,258,25,53,2676,592,396,1051,262,72,471,95,83,11,0,2,bha,Minority,5.217391304347826,58.80687563195146,9.848331648129424,21.253791708796765,1.3751263902932256,0.26289180990899896,0.060667340748230526,0.04044489383215369,0.0,8.149646107178969,0.3437815975733064,6.673407482305358,0.2426693629929221,9.509746012994684,90.4902539870053,26.127401415571285,13.144590495449949,3.3164812942366027,31.60070880094507,58.889545186060246,107.46208291203236,19096,48125,326300,1000,36.75,17.43000031,16.57999992,52.09999847,54.70999908,20.67000008,33.91999817,22.27000046,78.8722341184868,27.46999931,2.900000095,3.480000019,23.62000084,96.83000183,85.08000183,2010-01-01
117,25025092101,MA,Suffolk County,Census Tract 921.01,6451,1906,1564,21,2087,689,0,44,86,29,3,5,1930,33,260,6,1409,385,2454,202,2252,872,1380,1550,933,285,1906,191,434,1413,342,145,689,190,61,2029,510,247,10,0,2,wbha,Global,29.545806851650905,24.24430320880484,32.35157339947295,10.680514648891645,0.6820647961556348,1.333126647031468,0.4495427065571229,0.04650441791970237,0.07750736319950395,29.91784219500852,0.5115485971167261,4.0303828863742055,0.09300883583940474,8.231458842705786,91.7685411572942,24.027282591846234,14.462873973027436,4.4179197023717265,35.533822330888356,56.23471882640587,104.74345062780964,24613,47449,298300,1067,43.15000153,29.17000008,18.06999969,63.00999832,62.13000107,18.51000023,33.22000122,9.739999771,90.73533315635784,23.20000076,15.47999954,5.349999905,21.04000092,91.16999817,80.65000153,2010-01-01
118,25025092200,MA,Suffolk County,Census Tract 922,3349,740,1508,22,564,422,0,59,48,9,3,6,435,17,188,13,753,201,1227,93,1134,536,598,783,496,98,740,68,149,1417,294,214,422,122,37,542,138,76,15,5,2,wbha,Global,22.096148103911613,45.02836667661989,16.840848014332636,12.600776351149594,1.7617199163929531,1.4332636607942668,0.26873693639892504,0.08957897879964169,0.17915795759928338,12.988951925948045,0.5076142131979695,5.613616004777546,0.3881755747984473,7.579462102689487,92.42053789731052,23.38011346670648,14.810391161540759,2.9262466407882948,43.68378158109209,48.736756316218425,98.35771872200657,28602,48988,451200,1082,34.00999832,21.89999962,13.88000011,29.03000069,39.59000015,33.11999893,27.25,15.13000011,84.8744292237443,38.40000153,5.650000095,3.700000048,19.45999908,93.23000336,69.23999786,2010-01-01
